satellite_i,satellite_j,wasserstein_bc,js_divergence_bc
sat1010,sat1011,2.3154091054049273,0.9999999999942044
sat1010,sat1013,7.138955096818618,0.9999999999917909
sat1010,sat1014,14.38903884407782,0.999999999987254
sat1010,sat1019,5.074924164278851,0.999999999982346
sat1010,sat1030,6.226646582817326,0.9999999999911213
sat1011,sat1013,9.454364202223545,0.9999999999892343
sat1011,sat1014,16.704447949482745,0.9999999999830814
sat1011,sat1019,7.3903332696837865,0.9999999999800905
sat1011,sat1030,8.542055688222252,0.9999999999889527
sat1013,sat1014,7.250083747259194,0.9999999999898558
sat1013,sat1019,2.0640309325397665,0.9999999999843613
sat1013,sat1030,0.9123085140012923,0.999999999994437
sat1014,sat1019,9.314114679798967,0.9999999999782335
sat1014,sat1030,8.16239226126049,0.999999999988596
sat1019,sat1030,1.1517224185384747,0.999999999984368
